target,rr,n_holdout_events,wr_rev_baseline,wr_cont_baseline,exp_rev_net,exp_cont_net,best_pass_rate,best_fail_mll,best_score,median_end_pnl,avg_trades,best_risk_per_r,best_rev_q,best_cont_q,best_rev_adx_min,best_cont_adx_max,best_profit_cap,pass_2024,fail_2024,pnl_2024,pass_2025,fail_2025,pnl_2025,pass_2026,fail_2026,pnl_2026
y_1r4_240m,4.0,5291,0.1924,0.2024,-0.108,-0.0579,0.3599,0.1436,0.2163,1504.0,47.9,100.0,0.75,0.6,30,100,1400.0,0.5125,0.25,2545.0,0.3096,0.0628,1471.0,0.0,0.1311,-926.0
y_1r4_close60m,4.0,5217,0.166,0.1813,-0.24,-0.1633,0.1713,0.0052,0.1661,434.0,25.7,100.0,0.6,0.75,30,30,1400.0,0.2667,0.0125,1418.0,0.1423,0.0,467.0,0.0,0.0,0.0
y_1r4_120m,4.0,5291,0.1816,0.1949,-0.1619,-0.0957,0.2197,0.0554,0.1644,790.0,36.8,100.0,0.75,0.6,30,30,0.0,0.3417,0.1333,1260.0,0.1674,0.0,611.0,0.0,0.0,-142.0
y_1r4_60m,4.0,5291,0.1554,0.1782,-0.2932,-0.1789,0.2215,0.0934,0.128,450.5,34.4,100.0,0.6,0.6,40,100,1400.0,0.4292,0.2167,2008.0,0.0837,0.0084,288.0,0.0,0.0,0.0
y_1r4_180m,4.0,5291,0.1884,0.2007,-0.1278,-0.0664,0.2301,0.1021,0.128,704.5,42.7,100.0,0.75,0.6,30,30,1400.0,0.2958,0.1792,1402.0,0.2259,0.0628,753.0,0.0,0.0,-605.0
y_1r2_120m,2.0,5291,0.3338,0.341,-0.0687,-0.0471,0.3097,0.1955,0.1142,1396.5,52.8,150.0,0.6,0.6,40,30,1400.0,0.3083,0.1875,1411.0,0.3891,0.1297,2064.0,0.0,0.5574,-1668.0
y_1r2_close60m,2.0,5217,0.3318,0.3364,-0.0746,-0.0608,0.2215,0.1834,0.0381,754.5,45.4,150.0,0.75,0.6,30,100,1400.0,0.2583,0.1708,1280.0,0.2762,0.113,1233.0,0.0,0.3443,-318.0
y_1r2_180m,2.0,5291,0.3359,0.3411,-0.0624,-0.0466,0.0709,0.0381,0.0329,960.5,60.8,100.0,0.6,0.6,30,30,0.0,0.1083,0.0417,1319.0,0.0628,0.0,973.0,0.0,0.1967,-1045.0
y_1r2_240m,2.0,5291,0.3359,0.3413,-0.0624,-0.046,0.0744,0.0433,0.0311,501.0,54.0,100.0,0.6,0.75,30,30,0.0,0.1292,0.0,1220.0,0.0502,0.0502,306.0,0.0,0.2131,-1150.0
y_1r2_60m,2.0,5291,0.3304,0.3368,-0.0789,-0.0596,0.2128,0.2007,0.0121,1005.0,39.0,150.0,0.6,0.75,30,30,1400.0,0.3625,0.225,1601.0,0.1506,0.1004,1101.0,0.0,0.459,-1250.0
